customer_id,loyalty_tier,total_flights,delay_rate_pct,verbatim_text,sentiment_score
CUST0001,Gold,41,12.2,"As a Gold member who flies frequently with Air Côte d'Ivoire, I've experienced a few delays over the past year, which is somewhat disappointing given my loyalty and expectation of premium service; however, the overall efficiency of web bookings and the vast majority of on-time flights make it a generally reliable option for my travel needs across various routes.",0.3
CUST0002,Explorer,34,44.1,"As an Explorer tier member with a significant number of flights on Air Côte d'Ivoire over the past year, the persistent delay rate of 44.1% has become a source of considerable cumulative frustration, significantly impacting my travel plans despite booking through the web.",-0.7
CUST0004,Explorer,39,30.8,"As an Explorer tier member with Air Côte d'Ivoire, my experience over the past year has been marred by a consistently high delay rate of over 30%. While I appreciate the service on my frequent routes like R003 and R012 booked through the Corporate Desk, the accumulated 355 minutes of delay across 39 flights is becoming a significant source of frustration.",-0.6
CUST0007,Explorer,43,27.9,"As an Explorer tier member with a significant number of flights taken, the 27.9% delay rate and 210 minutes of cumulative delay across my 43 journeys with Air Côte d'Ivoire are becoming increasingly frustrating and impact my ability to rely on their services.",-0.6
CUST0008,Explorer,43,25.6,"As an Explorer tier member who has flown frequently with Air Côte d'Ivoire, the consistent delays, totaling over 400 minutes across 43 flights, have become a significant source of frustration and have negatively impacted my travel plans.",-0.6
CUST0009,Explorer,30,33.3,"As an Explorer tier member with 30 flights taken this past year, I've experienced a significant number of delays, with a 33.3% rate and over 300 minutes lost. While I appreciate Air Côte d'Ivoire's network on routes like R008 and R001, the cumulative frustration from frequent disruptions is becoming a serious concern for my travel plans.",-0.7
CUST0010,Explorer,25,44.0,"As an Explorer tier member who has flown Air Côte d'Ivoire 25 times this past year, the 44% delay rate and 260 minutes of delays across my flights are becoming increasingly frustrating and impact my travel plans significantly.",-0.6
CUST0012,Explorer,47,29.8,"As an Explorer tier member flying frequently with Air Côte d'Ivoire, the 29.8% delay rate over the past year, totaling 350 minutes across 47 flights, is becoming a significant point of frustration. While I appreciate the convenience of the mobile app for booking, the cumulative impact of these delays is diminishing the overall travel experience.",-0.6
CUST0013,Explorer,37,18.9,"As an Explorer tier member with 37 flights on Air Côte d'Ivoire over the past year, I've experienced a notable 18.9% delay rate. While I appreciate the convenience of the Corporate Desk booking, the cumulative 230 minutes of delays across several routes have certainly impacted my overall satisfaction, leading to a mixed experience.",0.1
CUST0017,Gold,36,25.0,"As a Gold member with Air Côte d'Ivoire, my experience over the past year has been marred by a significant number of delays, impacting my business travel schedule. While I appreciate the routes served, the 25% delay rate and cumulative minutes lost are frankly unacceptable and cause considerable frustration. I expect a higher standard of punctuality from an airline I entrust with frequent travel.",-0.6
CUST0018,Silver,47,23.4,"As a Silver tier member with Air Côte d'Ivoire, I've taken numerous flights this past year and while the convenience of the mobile app is appreciated, the consistent delays, accumulating to over 5 hours across 47 flights, have become quite frustrating. I hope to see improvements in punctuality moving forward to better align with the expectations of loyal customers.",-0.4
CUST0022,Gold,32,34.4,"As a Gold member with Air Côte d'Ivoire, I've flown frequently this past year, but the consistent 34.4% delay rate is becoming increasingly frustrating, leading to a significant cumulative loss of 250 minutes across my 32 flights; while I appreciate the convenience of the mobile app for booking, the operational reliability needs substantial improvement to meet the expectations of a loyal customer.",-0.7
CUST0078,Gold,28,39.3,"As a Gold member with Air Côte d'Ivoire, my overall experience this past year has been quite disappointing, particularly given the 39.3% delay rate across my 28 flights; this frequency of delays, accumulating to 190 minutes, is unacceptable and significantly undermines the premium service I expect.",-0.7
