flight_id,flight_number,route_id,flight_date,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,aircraft_type,seat_capacity,flight_status,delay_min,block_time_delta,actual_block_hours,exact_fuel_cost_usd,total_operating_cost_usd
FLT00001,HF101,R001,2025-01-01,2025-01-01 10:00:00,2025-01-01 11:00:00,2025-01-01 10:50:00,2025-01-01 11:45:00,A319,122,Delayed,60.0,0 days 00:45:00,0.75,2052.0,2839.5
FLT00002,HF102,R002,2025-01-01,2025-01-01 08:45:00,2025-01-01 08:45:00,2025-01-01 09:50:00,2025-01-01 09:45:00,A319,122,On Time,0.0,0 days 01:00:00,1.0,2280.0,3330.0
FLT00003,HF103,R003,2025-01-01,2025-01-01 19:00:00,2025-01-01 18:55:00,2025-01-01 20:10:00,2025-01-01 20:05:00,A320,150,On Time,0.0,0 days 01:10:00,1.1666666666666667,2770.83,4054.17
FLT00004,HF104,R004,2025-01-01,2025-01-01 10:15:00,2025-01-01 10:15:00,2025-01-01 11:25:00,2025-01-01 11:20:00,A319,122,Delayed,0.0,0 days 01:05:00,1.0833333333333333,2470.0,3607.5
FLT00005,HF104,R004,2025-01-01,2025-01-01 10:15:00,2025-01-01 10:10:00,2025-01-01 11:25:00,2025-01-01 11:20:00,A320,150,On Time,0.0,0 days 01:10:00,1.1666666666666667,2770.83,4054.17
FLT00006,HF105,R005,2025-01-01,2025-01-01 06:15:00,2025-01-01 06:15:00,2025-01-01 08:25:00,2025-01-01 08:20:00,A320,150,On Time,0.0,0 days 02:05:00,2.0833333333333335,4947.92,7239.58
FLT00007,HF105,R005,2025-01-01,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 12:10:00,2025-01-01 12:10:00,A319,122,On Time,5.0,0 days 02:05:00,2.0833333333333335,4778.5,6966.0
FLT00008,HF106,R006,2025-01-01,2025-01-01 16:30:00,2025-01-01 16:35:00,2025-01-01 18:05:00,2025-01-01 18:05:00,A320neo,165,On Time,5.0,0 days 01:30:00,1.5,3017.44,4562.44
FLT00009,HF106,R006,2025-01-01,2025-01-01 22:30:00,2025-01-01 22:35:00,2025-01-02 00:05:00,2025-01-02 00:05:00,A320,150,On Time,5.0,0 days 01:30:00,1.5,3592.19,5242.19
FLT00010,HF107,R007,2025-01-01,2025-01-01 13:15:00,2025-01-01 13:20:00,2025-01-01 14:40:00,2025-01-01 14:40:00,A320,150,On Time,5.0,0 days 01:20:00,1.3333333333333333,3196.35,4663.02
FLT00011,HF108,R008,2025-01-01,2025-01-01 22:15:00,2025-01-01 22:15:00,2025-01-01 23:55:00,2025-01-01 23:50:00,A320neo,165,Delayed,0.0,0 days 01:35:00,1.5833333333333333,3158.75,4789.58
FLT00012,HF109,R009,2025-01-01,2025-01-01 08:30:00,2025-01-01 08:35:00,2025-01-01 15:00:00,2025-01-01 15:00:00,A330-900neo,242,On Time,5.0,0 days 06:25:00,6.416666666666667,15269.27,22327.6
FLT00013,HF109,R009,2025-01-01,2025-01-01 08:15:00,2025-01-01 08:10:00,2025-01-01 14:45:00,2025-01-01 14:40:00,A330-900neo,242,On Time,0.0,0 days 06:30:00,6.5,15437.5,22587.5
