customer_id,loyalty_tier,customer_segment,preferred_channel,total_flights,delayed_flights,total_delay_min,routes_flown,verbatim_text,sentiment_score
CUST0001,Gold,Standard,Web,41,5,110.0,"R005, R007, R009, R011, R008, R010, R006, R003, R004, R002, R001, R012","Despite my Gold loyalty status, I experienced a total of five delays out of forty-one flights with Air Côte d'Ivoire over the past year (12.2% delay rate), which was frustrating given that other airlines seemed more reliable and responsive to issues.",-0.5
CUST0002,Explorer,Budget,Web,34,15,285.0,"R002, R006, R005, R011, R008, R004, R009, R012, R010, R007, R001","As an Explorer with Air Côte d'Ivoire, I've taken a total of 34 flights across various routes over the past year through my preferred booking channel – Web. Unfortunately, I experienced delays on nearly half (15 out of 34) of these trips which resulted in about two hours' worth of accumulated delay time overall; this high frequency and significant impact have understandably left me with some frustration regarding their reliability.",-0.6
CUST0004,Explorer,Standard,Corporate Desk,39,12,355.0,"R003, R012, R006, R008, R001, R005, R007, R004, R010, R011, R002, R009","While I appreciate the occasional helpful staff at Air Côte d'Ivoire, I've experienced a significant delay rate of around 30% over my numerous flights in Explorer Tier status (39 total). These frequent delays have caused considerable inconvenience and disruptions to travel plans.",-0.7
CUST0007,Explorer,Standard,Corporate Desk,43,12,210.0,"R004, R005, R001, R008, R002, R003, R009, R011, R012, R006, R010","Over the past year, I've flown with Air Côte d'Ivoire a total of 43 times using Corporate Desk for booking convenience despite experiencing delays on some occasions (12 out of my flights). While I'm grateful they are consistent in providing service to such frequent travelers as Gold Explorers like myself and appreciate their efforts even during unavoidable disruptions.",0.2
CUST0008,Explorer,Standard,Corporate Desk,43,11,425.0,"R007, R010, R003, R006, R011, R009, R005, R002, R004, R008","As a frequent traveler with Air Côte d'Ivoire, I've flown Standard for over the past year on key routes like R007 and R011 using my Corporate Desk booking preference (43 flights taken). Despite enjoying some great experiences flying this airline's main hubs such as Abidjan and Yamoussoukro, I'm disappointed by an overall 25.6% delay rate across all these trips which led to a cumulative frustration of over four hours delayed in total. I would appreciate if they could invest more into improving punctuality for their loyal customers.",-0.7
CUST0009,Explorer,Standard,Travel Agency,30,10,310.0,"R008, R001, R005, R002, R006, R004, R007, R003, R009, R010, R011","My experience with Air Côte d'Ivoire over the past year has been mixed, as I have taken a total of 30 flights through them and unfortunately encountered delays on about one-third (33.3%) of my trips—totaling approximately 310 minutes in delay time across all journeys flown primarily via travel agency bookings.",-0.5
CUST0010,Explorer,Standard,Corporate Desk,25,11,260.0,"R005, R006, R011, R007, R002, R003, R001, R004, R010, R012","As a frequent traveler with Air Côte d'Ivoire, my overall experience over the past year has been disappointing due to our high delay rate of nearly half all flights taken (44%). Delays totaling up to several hours have disrupted both personal and business commitments despite being an Explorer Tier member. I hope improvements can be made in future operations.",-0.8
CUST0012,Explorer,Standard,Mobile App,47,14,350.0,"R007, R001, R004, R010, R012, R009, R006, R005, R002, R008, R011, R003","As a frequent Explorer with Air Côte d'Ivoire, I've experienced quite an inconsistent journey over the past year—14 flights were delayed out of my total travels (29.8% delay rate), which cumulatively added up to about two weeks' worth of waiting time on just 1/3rd of all trips taken through their mobile app platform.",-0.6
CUST0013,Explorer,Standard,Corporate Desk,37,7,230.0,"R005, R007, R009, R012, R006, R003, R011, R008, R004, R001, R002, R010","While I have flown with Air Côte d'Ivoire frequently, my experience has been somewhat disappointing due to a high delay rate of nearly 19%. Despite the convenience and service provided on some flights like R005 and R007, frequent delays across multiple routes such as R006, R003, etc., made this overall less than satisfactory. I appreciate that they operate in West Africa but would hope for improvements going forward.",-0.5
CUST0017,Gold,Business,Travel Agency,36,9,145.0,"R002, R003, R010, R004, R008, R006, R007, R011, R001, R005, R009, R012","While I appreciate the loyalty perks of Gold membership with Air Côte d'Ivoire, my overall experience over past year was marred by a relatively high delay rate (25%). This frequent disruption affected numerous critical business trips and extended delays cumulatively caused significant inconvenience.",-0.5
